commit	composite_score	status	description
fb331e4	0.7064	baseline	baseline: 12/16 correct, 239 steps, 31 errors, 18 recoveries
08f7be0	0.8640	keep	few-shot examples for tool-call formatting: 14/16, 144 steps, 16 errors, 14 recoveries
-	0.8598	discard	planning prompt added to task: worse step efficiency, no improvement
-	0.8231	discard	better error/nudge messages: hurt recovery rate
-	0.8408	discard	temperature 0.4: code_02 looped, worse recovery
3518852	0.8873	keep	python code few-shot example: 15/16, 141 steps, 5 errors, 4 recoveries
-	0.7718	discard	MAX_STEPS=30: tasks hit limit, lost 2 correct answers
-	0.8065	discard	robust JSON parser: worse overall, stochastic variance
-	0.8134	discard	print() and ANSWER rules: more failures, stochastic
-	0.7580	discard	temperature 0.5: high variance, 4 failures, worse overall
-	<0.50	discard	repetition_penalty 1.3: math_01 hit 50 steps, aborted
-	0.8220	discard	loop detection mechanism: added overhead, worse step efficiency
-	0.8310	discard	extra multi-step code example: added prompt length, worse
0.8864	-	variance check re-run: confirms 0.886-0.887 range for best config
-	0.7177	discard	context window truncation: loses task info, much worse
-	0.8343	discard	error recovery few-shot example: plan_01 regressed, longer prompt hurts
-	0.8454	discard	/no_think: plan_01 hit 50 steps, worse without thinking
-	0.7910	discard	compact non-conversational examples: model needs User/Assistant format
-	0.7265	discard	top_p 0.95: too random, 5 failures
-	0.8330	discard	enhanced calculator functions: no impact on bottleneck, file_01 variance
-	0.7954	discard	robust multi-line PARAMS parser: greedy regex caused cascading failures
-	0.7934	discard	failed PARAMS recovery with regex: worse, file_01 38 steps, code_03 50 steps
-	0.8532	discard	answer self-verification step: added steps without fixing code_01
-	0.7973	discard	temperature annealing: low temp at later steps too rigid for recovery
-	0.7923	discard	truncate observations to 500 chars: lost useful info
-	0.7910	discard	deterministic seed=42: bad seed, 4 failures
a311966	0.8994	keep	minimal loop breaker: 15/16, 101-119 steps, prevents 50-step loops
-	0.9167	discard	qwen2.5:14b model: more errors (7 vs 1), worse recovery rate
-	0.8441	discard	Fibonacci hint in system prompt: disrupted prompt, memory_02 regressed
-	0.8972	discard	directive nudge message: premature answers, recovery rate dropped
-	0.7910	discard	qwen2.5:7b model: same Fibonacci issue, worse overall
